,labels
0,3
1,4
2,3
3,4
4,4
5,4
6,4
7,3
8,3
9,16
10,3
11,3
12,4
13,4
14,19
15,8
16,16
17,3
18,3
19,21
20,11
21,4
22,4
23,3
24,3
25,1
26,3
27,1
28,3
29,16
30,1
31,4
32,13
33,20
34,1
35,4
36,4
37,11
38,3
39,3
40,3
41,11
42,16
43,4
44,4
45,20
46,18
47,25
48,19
49,3
50,4
51,3
52,4
53,3
54,4
55,3
56,3
57,4
58,4
59,3
60,4
61,4
62,3
63,19
64,35
65,8
66,4
67,4
68,3
69,16
70,25
71,3
72,11
73,3
74,9
75,16
76,38
77,10
78,4
79,4
80,9
81,3
82,3
83,28
84,20
85,3
86,3
87,3
88,3
89,3
90,4
91,4
92,3
93,4
94,2
95,3
96,1
97,3
98,19
99,4
100,20
101,3
102,3
103,19
104,4
105,4
106,11
107,11
108,4
109,4
110,9
111,3
112,11
113,3
114,11
115,3
116,3
117,4
118,11
119,3
120,3
121,13
122,4
123,1
124,3
125,4
126,21
127,19
128,4
129,4
130,4
131,3
132,3
133,3
134,21
135,4
136,4
137,11
138,4
139,3
140,6
141,3
142,3
143,4
144,4
145,4
146,3
147,3
148,12
149,4
150,7
151,3
152,19
153,3
154,4
155,8
156,3
157,16
158,4
159,1
160,21
161,4
162,3
163,3
164,16
165,19
166,4
167,3
168,11
169,4
170,19
171,11
172,3
173,16
174,1
175,3
176,12
177,19
178,3
179,10
180,3
181,28
182,3
183,4
184,3
185,3
186,4
187,4
188,3
189,3
190,13
191,3
192,30
193,19
194,1
195,6
196,3
197,19
198,3
199,3
200,34
201,4
202,21
203,15
204,9
205,18
206,4
207,1
208,11
209,4
210,9
211,3
212,1
213,16
214,3
215,21
216,2
217,4
218,4
219,3
220,16
221,16
222,3
223,16
224,4
225,14
226,1
227,4
228,4
229,4
230,11
231,3
232,3
233,3
234,4
235,19
236,3
237,4
238,3
239,20
240,3
241,4
242,19
243,3
244,3
245,4
246,3
247,3
248,19
249,3
250,3
251,1
252,3
253,11
254,3
255,4
256,20
257,32
258,3
259,20
260,4
261,41
262,4
263,40
264,3
265,4
266,2
267,13
268,14
269,12
270,19
271,4
272,3
273,3
274,16
275,13
276,10
277,13
278,3
279,4
280,4
281,16
282,13
283,4
284,28
285,30
286,3
287,4
288,21
289,3
290,4
291,34
292,3
293,4
294,3
295,3
296,4
297,4
298,28
299,13
300,3
301,45
302,4
303,3
304,4
305,3
306,20
307,3
308,1
309,3
310,3
311,19
312,19
313,3
314,1
315,19
316,1
317,13
318,4
319,3
320,3
321,4
322,4
323,3
324,4
325,10
326,20
327,3
328,4
329,3
330,4
331,10
332,3
333,3
334,8
335,4
336,19
337,4
338,23
339,4
340,3
341,45
342,4
343,4
344,3
345,4
346,20
347,3
348,4
349,3
350,4
351,3
352,16
353,3
354,3
355,3
356,20
357,3
358,3
359,3
360,2
361,42
362,28
363,1
364,4
365,3
366,3
367,3
368,4
369,3
370,19
371,4
372,4
373,3
374,4
375,4
376,1
377,19
378,26
379,8
380,1
381,28
382,30
383,3
384,16
385,3
386,3
387,3
388,3
389,24
390,4
391,9
392,37
393,19
394,3
395,19
396,4
397,18
398,4
399,4
400,3
401,13
402,16
403,3
404,23
405,4
406,3
407,11
408,27
409,3
410,4
411,13
412,4
413,1
414,3
415,3
416,4
417,34
418,9
419,21
420,3
421,10
422,3
423,3
424,4
425,3
426,11
427,20
428,3
429,4
430,3
431,13
432,31
433,16
434,4
435,3
436,12
437,4
438,4
439,4
440,3
441,4
442,3
443,3
444,3
445,3
446,11
447,34
448,3
449,3
450,3
451,20
452,1
453,3
454,40
455,3
456,25
457,39
458,3
459,1
460,3
461,4
462,8
463,3
464,13
465,3
466,0
467,3
468,19
469,3
470,3
471,3
472,3
473,3
474,4
475,4
476,19
477,1
478,19
479,16
480,3
481,11
482,11
483,4
484,3
485,4
486,4
487,3
488,4
489,10
490,8
491,25
492,3
493,3
494,10
495,21
496,4
497,3
498,19
499,18
500,21
501,3
502,4
503,3
504,21
505,12
506,22
507,4
508,11
509,3
510,3
511,4
512,3
513,3
514,20
515,1
516,4
517,20
518,3
519,3
520,4
521,19
522,4
523,3
524,3
525,16
526,9
527,19
528,16
529,4
530,41
531,38
532,10
533,1
534,3
535,1
536,4
537,3
538,3
539,9
540,3
541,30
542,20
543,4
544,3
545,40
546,8
547,4
548,19
549,1
550,3
551,3
552,3
553,3
554,4
555,33
556,4
557,3
558,3
559,11
560,3
561,19
562,3
563,3
564,3
565,24
566,3
567,3
568,4
569,4
570,3
571,19
572,33
573,1
574,19
575,30
576,3
577,4
578,4
579,4
580,3
581,20
582,3
583,6
584,0
585,4
586,16
587,3
588,3
589,19
590,4
591,3
592,3
593,3
594,22
595,19
596,19
597,3
598,4
599,3
600,10
601,3
602,2
603,34
604,3
605,3
606,3
607,16
608,3
609,31
610,3
611,4
612,3
613,1
614,3
615,16
616,11
617,28
618,4
619,24
620,3
621,3
622,10
623,11
624,3
625,3
626,4
627,4
628,4
629,40
630,3
631,3
632,3
633,19
634,4
635,3
636,1
637,4
638,3
639,3
640,11
641,3
642,3
643,4
644,16
645,3
646,8
647,8
648,11
649,23
650,3
651,3
652,3
653,4
654,11
655,3
656,20
657,3
658,19
659,1
660,3
661,28
662,8
663,4
664,3
665,1
666,3
667,19
668,13
669,4
670,11
671,4
672,4
673,4
674,3
675,11
676,3
677,11
678,4
679,3
680,3
681,3
682,4
683,4
684,4
685,3
686,4
687,37
688,4
689,8
690,3
691,3
692,3
693,3
694,19
695,36
696,3
697,32
698,4
699,3
700,16
701,12
702,3
703,3
704,12
705,8
706,8
707,3
708,3
709,1
710,3
711,21
712,19
713,13
714,3
715,4
716,34
717,19
718,42
719,9
720,45
721,3
722,19
723,19
724,3
725,3
726,3
727,34
728,16
729,3
730,40
731,3
732,3
733,8
734,4
735,1
736,1
737,4
738,42
739,3
740,9
741,16
742,37
743,3
744,16
745,11
746,4
747,4
748,9
749,12
750,3
751,4
752,1
753,3
754,16
755,4
756,3
757,3
758,3
759,41
760,16
761,24
762,4
763,4
764,19
765,3
766,3
767,3
768,3
769,3
770,3
771,13
772,3
773,3
774,3
775,11
776,3
777,11
778,3
779,3
780,4
781,3
782,9
783,20
784,4
785,16
786,3
787,16
788,11
789,4
790,4
791,34
792,4
793,4
794,0
795,3
796,3
797,3
798,4
799,2
800,4
801,3
802,20
803,3
804,3
805,3
806,18
807,3
808,3
809,16
810,32
811,16
812,4
813,1
814,20
815,4
816,3
817,25
818,34
819,19
820,3
821,3
822,3
823,3
824,18
825,36
826,45
827,34
828,3
829,19
830,11
831,4
832,4
833,3
834,20
835,19
836,3
837,10
838,21
839,13
840,10
841,8
842,13
843,41
844,10
845,1
846,1
847,3
848,4
849,3
850,4
851,22
852,16
853,3
854,4
855,19
856,10
857,4
858,9
859,4
860,3
861,19
862,3
863,4
864,0
865,3
866,3
867,4
868,16
869,8
870,14
871,1
872,4
873,3
874,20
875,16
876,12
877,4
878,3
879,10
880,3
881,4
882,11
883,31
884,18
885,3
886,3
887,20
888,3
889,1
890,1
891,26
892,16
893,19
894,1
895,11
896,3
897,3
898,11
899,11
900,4
901,18
902,4
903,21
904,11
905,4
906,4
907,3
908,4
909,3
910,4
911,0
912,3
913,3
914,36
915,4
916,13
917,3
918,4
919,16
920,11
921,15
922,1
923,1
924,10
925,3
926,3
927,4
928,4
929,3
930,3
931,3
932,36
933,4
934,11
935,3
936,3
937,28
938,4
939,3
940,4
941,12
942,16
943,4
944,4
945,21
946,19
947,19
948,19
949,2
950,19
951,1
952,3
953,4
954,19
955,25
956,11
957,3
958,16
959,3
960,3
961,30
962,2
963,3
964,3
965,3
966,19
967,16
968,3
969,3
970,3
971,3
972,3
